n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,min_df,max_df,n_topics_before,n_topics_after,n_topics_force,outlier_ratio_before,outlier_ratio_after,topic_coverage_before,topic_coverage,topic_coverage_force,ratio_topic_0,ratio_topic_1,ratio_topic_0_force,ratio_topic_1_force,outlier_reduction_success,coherence_before,diversity_before,coherence_after,diversity_after,coherence_force,diversity_force,coherence,diversity,time_seconds,combined,custom_score
5,3,80,55,0.2,5,0.7,85,85,85,0.20368619668570445,0.13465399910931236,0.7963138033142956,0.8653460008906876,1.0,0.7504472970755757,0.01339937964388121,0.8252181794032393,0.015782359697166206,True,0.6474054148374488,0.9223529411764706,0.6233505474467369,0.8764705882352941,0.4439003439088065,0.9423529411764706,0.6233505474467369,0.8764705882352941,987.942593,0.7499105678410155,4.100267621239234
15,10,100,55,0.2,5,0.7,89,89,89,0.5741497449039386,0.5076177231211569,0.42585025509606145,0.49238227687884306,1.0,0.14013485323186786,0.06742270940925534,0.22589088295270762,0.0747786953770187,True,0.6342125947189453,0.9606741573033708,0.6381275729190804,0.946067415730337,0.48306551326534625,0.9449438202247191,0.6381275729190804,0.946067415730337,970.795397,0.7920974943247088,4.040689222079108
15,5,80,55,0.2,5,0.7,83,83,83,0.5104226078396137,0.41063824800181264,0.48957739216038626,0.5893617519981874,1.0,0.3467782890984522,0.08465438976178012,0.5352837308873281,0.10619106030892797,True,0.64662998390955,0.9686746987951808,0.6336342511706442,0.9301204819277108,0.463950209543548,0.9578313253012049,0.6336342511706442,0.9301204819277108,952.659725,0.7818773665491775,3.9836015374397284
15,5,100,30,0.2,5,0.7,51,51,51,0.38883593377659365,0.2579048526849544,0.6111640662234064,0.7420951473150456,1.0,0.5467181286184185,0.0720128759053371,0.7190075864709238,0.08286520145947762,True,0.6323653256429046,0.9627450980392157,0.5947397564667019,0.9431372549019608,0.4092082973810323,0.9705882352941176,0.5947397564667019,0.9431372549019608,862.310893,0.7689385056843313,3.9410794990099562
15,3,80,55,0.2,5,0.7,32,32,32,0.09393629239555906,0.05058949457383722,0.9060637076044409,0.9494105054261628,1.0,0.8305935573595018,0.0780211108593573,0.8678422701596206,0.08003687759295576,True,0.672801825174004,0.925,0.610050834646871,0.8875,0.5121411435606584,0.925,0.610050834646871,0.8875,875.522392,0.7487754173234356,3.9037107130549122
15,5,140,55,0.2,5,0.7,51,51,51,0.5213530638873046,0.3838082365166301,0.47864693611269543,0.6161917634833699,1.0,0.35564610011641445,0.08749833972701206,0.5154542116242549,0.10615199506215281,True,0.6218138690743269,0.9803921568627451,0.5819131995727796,0.9764705882352941,0.40317755346710366,0.9784313725490196,0.5819131995727796,0.9764705882352941,823.664502,0.7791918939040369,3.8790170854822468
5,3,120,30,0.2,5,0.7,48,48,48,0.12379386050581681,0.0832167886804541,0.8762061394941831,0.9167832113195459,1.0,0.8492354931206101,0.00844590635279043,0.9013524388433561,0.010387449117516075,True,0.5850707200467811,0.9395833333333333,0.5584124376426647,0.9354166666666667,0.4244865247982172,0.9416666666666667,0.5584124376426647,0.9354166666666667,795.774797,0.7469145521546656,3.861975968265133
5,3,100,80,0.2,5,0.7,78,78,78,0.2935870490893891,0.18701705588674203,0.7064129509106108,0.812982944113258,1.0,0.5874045831347516,0.08091584564539694,0.6961583236321304,0.0861505887132689,True,0.6548624464860097,0.9384615384615385,0.6119315507542691,0.9179487179487179,0.4228507519227371,0.95,0.6119315507542691,0.9179487179487179,842.564704,0.7649401343514934,3.8517202264144865
15,5,140,30,0.2,5,0.7,31,31,31,0.3983092561195709,0.21233524232172574,0.6016907438804291,0.7876647576782743,1.0,0.5971669883038652,0.07337625301779031,0.7464313897070888,0.08258783820737396,True,0.6079225092067072,0.9774193548387097,0.5465451316944426,0.9774193548387097,0.41096562815078735,0.9806451612903225,0.5465451316944426,0.9774193548387097,783.490152,0.7619822432665762,3.8225349807907403
15,5,100,55,0.2,5,0.7,70,70,70,0.5148916720706924,0.3773077794532428,0.4851083279293075,0.6226922205467572,1.0,0.3683227726949551,0.08735770483862147,0.5400145322718004,0.11010149151112188,True,0.6347964541750584,0.9671428571428572,0.6133800774922515,0.9457142857142857,0.44571909348895034,0.9671428571428572,0.6133800774922515,0.9457142857142857,894.876209,0.7795471816032686,3.7958540360700392
