n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,n_topics_before,n_topics_after,n_topics_force,outlier_ratio_before,outlier_ratio_after,topic_coverage_before,topic_coverage,topic_coverage_force,ratio_topic_0,ratio_topic_1,ratio_topic_0_force,ratio_topic_1_force,outlier_reduction_success,coherence_before,diversity_before,coherence_after,diversity_after,coherence_force,diversity_force,coherence,diversity,time_seconds,combined
20,20,100,55,0.0,49,49,49,0.9084232485096608,0.4876631950684032,0.09157675149033917,0.5123368049315967,1.0,0.028900469564266236,0.03997937354970271,0.035490776695236384,0.05445304747990093,True,0.698652262264236,0.9510204081632653,0.6444250283301829,0.8959183673469387,0.5186514659232686,0.8775510204081632,0.6444250283301829,0.8959183673469387,1032.912051,0.7701716978385609
20,20,100,55,0.2,30,30,30,0.7151635661882476,0.2765233492979975,0.2848364338117524,0.7234766507020025,1.0,0.19283777765624147,0.2696869311123438,0.22423451648944068,0.3362541116172231,True,0.6849933256550377,0.9966666666666667,0.4817519782031871,0.97,0.4288482108774472,0.9533333333333334,0.4817519782031871,0.97,966.753267,0.7258759891015936
20,20,100,80,0.0,48,48,48,0.9123414927612098,0.41622067176598354,0.08765850723879023,0.5837793282340165,1.0,0.0294161308216984,0.04628059785453665,0.03490089146893141,0.06441077888289021,True,0.6984449796679861,0.95,0.5750961666746092,0.925,0.4938333808605481,0.8916666666666667,0.5750961666746092,0.925,1033.74084,0.7500480833373047
20,20,100,80,0.2,36,36,36,0.7962083271480026,0.30215796423186003,0.2037916728519974,0.69784203576814,1.0,0.11428147291606441,0.14599854677281995,0.12721597612332117,0.1874155214038487,True,0.7047846873809475,0.9805555555555555,0.5226612471415184,0.9583333333333334,0.43096558663480783,0.9555555555555556,0.5226612471415184,0.9583333333333334,994.574033,0.7404972902374258
20,20,120,10,0.0,58,58,58,0.916798837418256,0.5879632161636366,0.08320116258174402,0.4120367838363635,1.0,0.010239001179770453,0.004871436272862936,0.015028400434405544,0.01855599221820284,True,0.6841973603380685,0.9189655172413793,0.6017122755431954,0.8568965517241379,0.4849263745349597,0.8327586206896552,0.6017122755431954,0.8568965517241379,989.279221,0.7293044136336666
20,20,120,10,0.2,10,10,10,0.319792016626169,0.018891953340469253,0.6802079833738309,0.9811080466595308,1.0,0.9388628887968685,0.0147080654108492,0.9531724886906111,0.015442492050222282,True,0.5845220652456886,1.0,0.44438547297448744,0.98,0.4917575768071242,0.92,0.44438547297448744,0.98,901.417718,0.7121927364872437
20,20,120,30,0.0,46,46,46,0.9071028431686603,0.46877905477728904,0.0928971568313397,0.531220945222711,1.0,0.028025408036502567,0.013532201482916768,0.03217804376870249,0.0259119781859662,True,0.7005703935162217,0.9521739130434783,0.5481344155191941,0.8913043478260869,0.42984938760923586,0.8739130434782608,0.5481344155191941,0.8913043478260869,977.231181,0.7197193816726405
20,20,120,30,0.2,21,21,21,0.6250244157792345,0.17036354118648966,0.37497558422076555,0.8296364588135103,1.0,0.4789907102843169,0.15247556468814213,0.5249236274425546,0.19330656061754342,True,0.658879590519975,0.9952380952380953,0.34342572531418364,0.9809523809523809,0.34239332136457284,0.9476190476190476,0.34342572531418364,0.9809523809523809,919.877737,0.6621890531332822
20,20,120,55,0.0,40,40,40,0.9101655585158331,0.407872428530131,0.08983444148416686,0.5921275714698689,1.0,0.031099842957707964,0.012969661929354408,0.03800267206287942,0.03065840566914861,True,0.6846328800465423,0.9525,0.5595475261345982,0.91,0.4594276936089688,0.8725,0.5595475261345982,0.91,986.468234,0.7347737630672991
20,20,120,55,0.2,24,24,24,0.6909392066629685,0.16146838449578485,0.3090607933370315,0.8385316155042152,1.0,0.19429100483627756,0.294993397973295,0.20893656585228648,0.3312928252767773,True,0.6513780884761105,0.9958333333333333,0.3438269464647912,0.9833333333333333,0.33232796283743277,0.9625,0.3438269464647912,0.9833333333333333,942.503493,0.6635801398990623
20,20,120,80,0.0,40,40,40,0.909036572884031,0.3130220093600331,0.0909634271159691,0.6869779906399669,1.0,0.029302841606050425,0.07422396887281137,0.03481885445070357,0.08937347157221992,True,0.7007278130903752,0.96,0.5521730483163525,0.905,0.4646095322042562,0.885,0.5521730483163525,0.905,1013.274062,0.7285865241581763
20,20,120,80,0.2,31,31,31,0.7983178504738614,0.22189450820760834,0.20168214952613855,0.7781054917923916,1.0,0.11853567828987975,0.15082701127423023,0.12960286270128368,0.17214882296411466,True,0.6961221179128145,0.9838709677419355,0.4846036122258177,0.967741935483871,0.3786804729671694,0.9451612903225807,0.4846036122258177,0.967741935483871,982.814783,0.7261727738548444
20,20,120,105,0.0,37,37,37,0.9214554148338555,0.3462704408903751,0.0785445851661445,0.6537295591096249,1.0,0.029767718042674876,0.05117547327546468,0.03699088217140268,0.06317631708479503,True,0.6881348978567781,0.9540540540540541,0.5268365656275633,0.9108108108108108,0.5063124409836413,0.9216216216216216,0.5268365656275633,0.9108108108108108,1017.198947,0.7188236882191871
20,20,120,105,0.2,28,28,28,0.8110335882991773,0.23443835894711346,0.1889664117008227,0.7655616410528865,1.0,0.1279386831886617,0.03170926080740052,0.1428655139814518,0.03699088217140268,True,0.7074089192735308,0.9857142857142858,0.4556332087901547,0.9642857142857143,0.4651223873791243,0.9607142857142857,0.4556332087901547,0.9642857142857143,987.252954,0.7099594615379345
20,20,140,10,0.0,50,50,50,0.8992429155174974,0.5395223101624333,0.10075708448250267,0.4604776898375667,1.0,0.02482205780093913,0.030674031767858677,0.029466915642506114,0.05399989061730903,True,0.6803387043392576,0.93,0.5489652953079491,0.88,0.4845710171225512,0.836,0.5489652953079491,0.88,965.053748,0.7144826476539745
20,20,140,10,0.2,9,9,9,0.3195185598987429,0.002496269268932972,0.6804814401012571,0.997503730731067,1.0,0.9501097733434382,0.015403426803447117,0.95172707455993,0.015938620684266862,True,0.5549083141846122,1.0,0.48506813994325654,0.9777777777777777,0.4193225580296244,0.9777777777777777,0.48506813994325654,0.9777777777777777,898.104157,0.7314229588605171
20,20,140,30,0.0,40,40,40,0.9062355946902516,0.40936472095694226,0.09376440530974835,0.5906352790430577,1.0,0.02837699525747904,0.01719652163042714,0.03208428717644209,0.028564508441999828,True,0.68441098601244,0.9625,0.5153991973355314,0.895,0.47147547232934905,0.865,0.5153991973355314,0.895,963.529051,0.7051995986677657
