topic,period,p_value,odds_ratio,ci_lower,ci_upper,rate_difference,count_chart_topic,count_nochart_topic,total_chart,total_nochart,p_adjusted,significant,direction
19,1985-1989,0.5765581528046757,1.0938844124978262,0.7796198814086449,1.5730782312435105,0.002153603352323761,35,325,1362,13804,1.0,False,neutral
20,1985-1989,0.4300462892647646,0.4936513629842181,0.16984750678759128,2.1866804889534164,-0.001501724797468737,2,41,1362,13804,0.9603217167789249,False,neutral
21,1985-1989,0.17250740651862106,0.0,0.010823563763688919,2.90726607047858,-0.002028397565922921,0,28,1362,13804,0.642110902041534,False,neutral
22,1985-1989,0.46319101009484126,1.1170036601400093,0.8308409665885376,1.5292234437481655,0.0035025707077605446,47,428,1362,13804,0.9603217167789249,False,neutral
23,1985-1989,0.4873274383654246,1.382901866345575,0.5106595589644493,4.8700919960533735,0.0006089022271524441,3,22,1362,13804,0.9603217167789249,False,neutral
24,1985-1989,0.09767126723700825,1.4114779602420051,0.9578833769459945,2.145140699359945,0.005697448355006594,27,195,1362,13804,0.4674267789199681,False,neutral
25,1985-1989,0.8806209642432299,0.8768482955174645,0.4979329827005976,1.6733460521414711,-0.0011238735202420622,11,127,1362,13804,1.0,False,neutral
26,1985-1989,0.20332518760642432,1.278351487572888,0.8906383244081633,1.885585399528387,0.004867281866415107,31,247,1362,13804,0.7169888194542332,False,neutral
27,1985-1989,0.4733213212550229,1.2951421577857278,0.6102805209093438,3.1560903878333373,0.0010004761436702894,6,47,1362,13804,0.9603217167789249,False,neutral
28,1985-1989,0.7967993839934544,0.6903471804134056,0.2677901889657434,2.366635694937051,-0.0009848387175012793,3,44,1362,13804,1.0,False,neutral
29,1985-1989,0.4664628837501037,1.237732717563862,0.6777518597257081,2.460321798259177,0.0014018367486748609,10,82,1362,13804,0.9603217167789249,False,neutral
30,1985-1989,0.6229870043681943,1.170940170940171,0.6731747946275187,2.1874757923730823,0.0012765245852252496,12,104,1362,13804,1.0,False,neutral
31,1985-1989,0.012404422838088163,1.4021373423866097,1.0941918586444852,1.8173818988901818,0.014386538452537331,71,521,1362,13804,0.08426493318624043,False,neutral
32,1985-1989,0.6184497610887791,0.7859345197975076,0.41189266139705577,1.6755265304960576,-0.0015878902069714415,8,103,1362,13804,1.0,False,neutral
33,1985-1989,0.17250740651862106,0.0,0.010823563763688919,2.90726607047858,-0.002028397565922921,0,28,1362,13804,0.642110902041534,False,neutral
34,1985-1989,1.0,0.5063923585598824,0.14102961862589344,3.8914477949095243,-0.0007146410136286021,1,20,1362,13804,1.0,False,neutral
35,1985-1989,0.005107693652202983,0.6097686965505367,0.4320487992457684,0.8854051199253312,-0.014465151091577453,32,524,1362,13804,0.048887924956799986,True,underrepresented
36,1985-1989,1.0,0.6331741366642175,0.17289546275889017,4.90263756859966,-0.00042486993278247054,1,16,1362,13804,1.0,False,neutral
37,1985-1989,1.0,0.0,0.13749580812783557,82.94179880626389,-7.24427702115329e-05,0,1,1362,13804,1.0,False,neutral
38,1985-1989,0.2641925908559763,1.74070796460177,0.8039325380981635,4.296819845593221,0.0018697893862086841,6,35,1362,13804,0.8850451793675207,False,neutral
39,1985-1989,0.8816148617779951,1.037811618988694,0.6106907507901128,1.8857907194905525,0.0003445552609620487,13,127,1362,13804,1.0,False,neutral
40,1985-1989,0.43825545187418347,1.1639782109789232,0.7883135443901826,1.776362736349472,0.002645065317635486,26,227,1362,13804,0.9603217167789249,False,neutral
41,1985-1989,1.0,0.779460803707681,0.2081331623168371,6.086412942990006,-0.00020754162214787185,1,13,1362,13804,1.0,False,neutral
42,1985-1989,0.8000376794641593,1.152274402090172,0.5157017981259902,3.0436552857697374,0.00048359006370283196,5,44,1362,13804,1.0,False,neutral
43,1985-1989,0.7082814872145997,1.141130820399113,0.6094637835000615,2.3495467419357046,0.0008125078984958711,9,80,1362,13804,1.0,False,neutral
44,1985-1989,1.0,,0.20094546414940362,510.84615952551604,0.0,0,0,1362,13804,1.0,False,neutral
45,1985-1989,0.3799218538607153,0.6453586895123329,0.3134002951624058,1.5421644414193962,-0.0024043340562717565,6,94,1362,13804,0.9603217167789249,False,neutral
46,1985-1989,0.0007131153466003563,1.86469756754403,1.3457234348813036,2.633741964611088,0.013730723946877858,41,226,1362,13804,0.01592624274074129,True,overrepresented
47,1985-1989,1.0,,0.20094546414940362,510.84615952551604,0.0,0,0,1362,13804,1.0,False,neutral
48,1985-1989,0.8683756461043801,0.893569844789357,0.48154663617086946,1.828286395406136,-0.000781233046157852,9,102,1362,13804,1.0,False,neutral
49,1985-1989,0.08828767014942074,0.3108371040723982,0.1088686974079237,1.3647061706392989,-0.003240351282545526,2,65,1362,13804,0.45502106923162994,False,neutral
50,1985-1989,1.0,0.95264038689796,0.6105163635003599,1.556983415163505,-0.0006833661612905828,19,202,1362,13804,1.0,False,neutral
51,1985-1989,0.8515665364175807,1.0264944000897482,0.5329283109943377,2.2025873039360544,0.00015073627810534805,8,79,1362,13804,1.0,False,neutral
52,1985-1989,0.6224161704578095,0.0,0.02227306921661903,6.310189339604815,-0.0009417560127499276,0,13,1362,13804,1.0,False,neutral
53,1985-1989,0.000984003981988976,0.09405536061307312,0.027992423774024788,0.7039995997210514,-0.0070171620220319635,1,107,1362,13804,0.01648206669831535,True,underrepresented
54,1985-1989,1.0,,0.20094546414940362,510.84615952551604,0.0,0,0,1362,13804,1.0,False,neutral
55,1985-1989,0.7219483851952351,0.4218711731569924,0.11906616978755445,3.225199811620343,-0.0010044120944747337,1,24,1362,13804,1.0,False,neutral
56,1985-1989,1.0,0.0,0.02823459263191995,8.232254526131813,-0.0007244277021153289,0,10,1362,13804,1.0,False,neutral
57,1985-1989,1.0,0.95264038689796,0.6105163635003599,1.556983415163505,-0.0006833661612905828,19,202,1362,13804,1.0,False,neutral
58,1985-1989,0.2922074831370518,1.5617199909235306,0.7270683332176789,3.8353206396141273,0.0015800183053625524,6,39,1362,13804,0.9208947109533859,False,neutral
59,1985-1989,1.0,1.013579335793358,0.5067021113036889,2.2930749100172787,6.850681940708848e-05,7,70,1362,13804,1.0,False,neutral
60,1985-1989,0.3252355470381312,1.430640053337778,0.7783301271240813,2.856870729834068,0.0021987072210017224,10,71,1362,13804,0.9474252891980344,False,neutral
61,1985-1989,1.0,,0.20094546414940362,510.84615952551604,0.0,0,0,1362,13804,1.0,False,neutral
62,1985-1989,1.0,0.0,0.038535002610474496,11.827416011259269,-0.0005070993914807302,0,7,1362,13804,1.0,False,neutral
63,1985-1989,1.0,0.0,0.13749580812783557,82.94179880626389,-7.24427702115329e-05,0,1,1362,13804,1.0,False,neutral
64,1985-1989,0.4314600309530086,2.027773695811903,0.45406477018995484,16.82793175406979,0.0003720005395443913,1,5,1362,13804,0.9603217167789249,False,neutral
65,1985-1989,1.0,,0.20094546414940362,510.84615952551604,0.0,0,0,1362,13804,1.0,False,neutral
-1,1990-1994,0.11060227234313752,0.9038606751059196,0.800096051562162,1.0228636483997642,-0.018709548149498767,363,4133,1538,16225,0.41168623594390075,False,neutral
0,1990-1994,7.897331863208974e-05,0.6179399193305641,0.4845760944883269,0.798441260461686,-0.025432344649465713,68,1130,1538,16225,0.0013228030870875032,True,underrepresented
1,1990-1994,1.0765626103790624e-10,2.4110882016036657,1.8989376783317882,3.0881889874574973,0.030853709117357703,83,375,1538,16225,7.212969489539718e-09,True,overrepresented
2,1990-1994,1.0,1.0047556473312058,0.621220360775403,1.7169737492135189,4.8729564940360945e-05,16,168,1538,16225,1.0,False,neutral
3,1990-1994,0.0034461216183480437,0.23120808584019928,0.09287022446729032,0.7772840309396274,-0.006431541172675378,3,136,1538,16225,0.028861268553664866,True,underrepresented
4,1990-1994,0.20448085010100128,0.6941146184350965,0.42655122218593244,1.2000601592202225,-0.004237829129940831,15,227,1538,16225,0.5039358546442222,False,neutral
5,1990-1994,1.0,0.9305598218399631,0.4467861621963207,2.24023314961335,-0.0002898928230086902,6,68,1538,16225,1.0,False,neutral
6,1990-1994,0.8651307975996878,1.044787724845783,0.5768472353791383,2.0645591270055244,0.0002769891059767847,10,101,1538,16225,1.0,False,neutral
7,1990-1994,7.57108872576089e-08,1.8662241315511592,1.5142113979000444,2.316604285047751,0.030769674662028804,106,619,1538,16225,2.536314723129898e-06,True,overrepresented
8,1990-1994,1.0,0.8785652079251034,0.44249936695554837,1.97765364370619,-0.000625830276047375,7,84,1538,16225,1.0,False,neutral
9,1990-1994,0.005971246066965015,0.6056190560374288,0.4274193208223494,0.8838279738476013,-0.012694492477173042,31,533,1538,16225,0.0400073486486656,True,underrepresented
10,1990-1994,0.18993864391595333,0.47816166883963496,0.20709408218975714,1.3807324197895863,-0.0028229485794891013,4,88,1538,16225,0.48945727470649514,False,neutral
