n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,min_df,max_df,cluster_selection_method,n_topics_before,outlier_ratio_before,topic_coverage_before,coherence_before,diversity_before,n_topics_after,outlier_ratio_after,topic_coverage,ratio_topic_0,ratio_topic_1,coherence,diversity,n_topics_force,topic_coverage_force,ratio_topic_0_force,ratio_topic_1_force,coherence_force,diversity_force,time_seconds
10,5,150,10,0,1,0.5,eom,121,0.633314061144924,0.366685938855076,0.57653117423917,0.979338842975207,121,0.633314061144924,0.366685938855076,0.06079333703151,0.0210483549624583,0.57653117423917,0.979338842975207,121,0.366685938855076,0.06079333703151,0.0210483549624583,0.57653117423917,0.979338842975207,458.653019
10,5,100,80,0,1,0.5,eom,142,0.666492175231071,0.333507824768929,0.646479113417682,0.973943661971831,142,0.666492175231071,0.333507824768929,0.066633591424397,0.0184583291012649,0.646479113417682,0.973943661971831,142,0.333507824768929,0.066633591424397,0.0184583291012649,0.646479113417682,0.973943661971831,485.345498
10,5,100,40,0,1,0.5,eom,160,0.658464267018775,0.341535732981225,0.644086670736409,0.973125,160,0.658464267018775,0.341535732981225,0.062465329593487,0.0201342281879195,0.644086670736409,0.973125,160,0.341535732981225,0.062465329593487,0.0201342281879195,0.644086670736409,0.973125,483.761906
60,5,50,10,0,1,0.5,eom,178,0.688349180801775,0.311650819198225,0.695504260251882,0.953932584269663,178,0.688349180801775,0.311650819198225,0.0762006703596347,0.0652116164417811,0.695504260251882,0.953932584269663,178,0.311650819198225,0.0762006703596347,0.0652116164417811,0.695504260251882,0.953932584269663,888.636922
30,5,50,40,0,1,0.5,eom,187,0.679664976443656,0.320335023556344,0.71319366805122,0.961497326203209,187,0.679664976443656,0.320335023556344,0.0605276933534389,0.0401395410614809,0.71319366805122,0.961497326203209,187,0.320335023556344,0.0605276933534389,0.0401395410614809,0.71319366805122,0.961497326203209,666.600706
10,5,100,10,0,1,0.5,eom,192,0.64541647459587,0.35458352540413,0.616430801874266,0.969270833333333,192,0.64541647459587,0.35458352540413,0.06079333703151,0.0188411685196615,0.616430801874266,0.969270833333333,192,0.35458352540413,0.06079333703151,0.0188411685196615,0.616430801874266,0.969270833333333,488.500541
30,5,50,10,0,1,0.5,eom,248,0.707217694994179,0.292782305005821,0.696030528624272,0.962096774193548,248,0.707217694994179,0.292782305005821,0.0645475072466033,0.0179504808931878,0.696030528624272,0.962096774193548,248,0.292782305005821,0.0645475072466033,0.0179504808931878,0.696030528624272,0.962096774193548,681.580596
10,5,50,40,0,1,0.5,eom,305,0.659718261440258,0.340281738559743,0.70458933937439,0.959016393442623,305,0.659718261440258,0.340281738559743,0.062465329593487,0.0131337359658101,0.70458933937439,0.959016393442623,305,0.340281738559743,0.062465329593487,0.0131337359658101,0.70458933937439,0.959016393442623,551.303379
10,5,50,10,0,1,0.5,eom,391,0.639548874530241,0.36045112546976,0.678562077535177,0.954219948849105,391,0.639548874530241,0.36045112546976,0.06079333703151,0.0140048909688963,0.678562077535177,0.954219948849105,391,0.36045112546976,0.06079333703151,0.0140048909688963,0.678562077535177,0.954219948849105,579.765798
60,5,300,80,0,1,0.5,leaf,36,0.783375393582361,0.216624606417639,0.52188420071268,0.988888888888889,36,0.783375393582361,0.216624606417639,0.0661257432163199,0.0191497839691853,0.52188420071268,0.988888888888889,36,0.216624606417639,0.0661257432163199,0.0191497839691853,0.52188420071268,0.988888888888889,811.632646
60,5,300,40,0,1,0.5,leaf,37,0.778285191927557,0.221714808072443,0.537679774950102,0.989189189189189,37,0.778285191927557,0.221714808072443,0.0666804697205272,0.0151612222734411,0.537679774950102,0.989189189189189,37,0.221714808072443,0.0666804697205272,0.0151612222734411,0.537679774950102,0.989189189189189,804.139142
60,5,300,10,0,1,0.5,leaf,47,0.785570860451126,0.214429139548875,0.534680662109399,0.993617021276596,47,0.785570860451126,0.214429139548875,0.0652116164417811,0.0138564430311506,0.534680662109399,0.993617021276596,47,0.214429139548875,0.0652116164417811,0.0138564430311506,0.534680662109399,0.993617021276596,804.658024
30,5,300,80,0,1,0.5,leaf,49,0.781277589830535,0.218722410169465,0.554123841510646,0.991836734693878,49,0.781277589830535,0.218722410169465,0.0604495628598886,0.0217124641576361,0.554123841510646,0.991836734693878,49,0.218722410169465,0.0604495628598886,0.0217124641576361,0.554123841510646,0.991836734693878,592.119182
30,5,300,40,0,1,0.5,leaf,52,0.759998749912103,0.240001250087897,0.553764027682524,0.996153846153846,52,0.759998749912103,0.240001250087897,0.0605276933534389,0.0186067770390106,0.553764027682524,0.996153846153846,52,0.240001250087897,0.0605276933534389,0.0186067770390106,0.553764027682524,0.996153846153846,585.57576
30,5,300,10,0,1,0.5,leaf,55,0.757920478783665,0.242079521216336,0.516266234714563,0.996363636363636,55,0.757920478783665,0.242079521216336,0.0645475072466033,0.0151651287981186,0.516266234714563,0.996363636363636,55,0.242079521216336,0.0645475072466033,0.0151651287981186,0.516266234714563,0.996363636363636,588.028881
10,5,300,80,0,1,0.5,leaf,63,0.750177746872827,0.249822253127173,0.479229094801731,0.988888888888889,63,0.750177746872827,0.249822253127173,0.0230563086467017,0.0110085865412412,0.479229094801731,0.988888888888889,63,0.249822253127173,0.0230563086467017,0.0110085865412412,0.479229094801731,0.988888888888889,439.748967
10,5,300,40,0,1,0.5,leaf,66,0.694326163558375,0.305673836441625,0.494609612373829,0.989393939393939,66,0.694326163558375,0.305673836441625,0.062465329593487,0.0227008149010477,0.494609612373829,0.989393939393939,66,0.305673836441625,0.062465329593487,0.0227008149010477,0.494609612373829,0.989393939393939,438.705197
10,5,300,10,0,1,0.5,leaf,72,0.754045206303568,0.245954793696432,0.470339392564166,0.993055555555556,72,0.754045206303568,0.245954793696432,0.0210483549624583,0.0103288512473533,0.470339392564166,0.993055555555556,72,0.245954793696432,0.0210483549624583,0.0103288512473533,0.470339392564166,0.993055555555556,434.512603
60,5,150,40,0,1,0.5,leaf,74,0.799013211866459,0.200986788133541,0.652358146271846,0.977027027027027,74,0.799013211866459,0.200986788133541,0.0543710104616731,0.0151612222734411,0.652358146271846,0.977027027027027,74,0.200986788133541,0.0543710104616731,0.0151612222734411,0.652358146271846,0.977027027027027,826.704111
60,5,150,80,0,1,0.5,leaf,75,0.80522458610371,0.19477541389629,0.674032130087063,0.973333333333333,75,0.80522458610371,0.19477541389629,0.0601409474103648,0.0138017516856654,0.674032130087063,0.973333333333333,75,0.19477541389629,0.0601409474103648,0.0138017516856654,0.674032130087063,0.973333333333333,835.173351
30,5,150,80,0,1,0.5,leaf,82,0.781429944292958,0.218570055707042,0.67556584625155,0.976829268292683,82,0.781429944292958,0.218570055707042,0.0604495628598886,0.0173019977967201,0.67556584625155,0.976829268292683,82,0.218570055707042,0.0604495628598886,0.0173019977967201,0.67556584625155,0.976829268292683,613.81285
60,5,150,10,0,1,0.5,leaf,84,0.797630302130619,0.202369697869381,0.653719838112701,0.979761904761905,84,0.797630302130619,0.202369697869381,0.051601284465314,0.0091061090232907,0.653719838112701,0.979761904761905,84,0.202369697869381,0.051601284465314,0.0091061090232907,0.653719838112701,0.979761904761905,826.031367
30,5,150,40,0,1,0.5,leaf,90,0.753138892578384,0.246861107421616,0.662744729683371,0.978888888888889,90,0.753138892578384,0.246861107421616,0.0605276933534389,0.0186067770390106,0.662744729683371,0.978888888888889,90,0.246861107421616,0.0605276933534389,0.0186067770390106,0.662744729683371,0.978888888888889,608.954895
60,5,100,80,0,1,0.5,leaf,94,0.800392215077623,0.199607784922377,0.685407499280205,0.967021276595745,94,0.800392215077623,0.199607784922377,0.0601409474103648,0.0138017516856654,0.685407499280205,0.967021276595745,94,0.199607784922377,0.0601409474103648,0.0138017516856654,0.685407499280205,0.967021276595745,846.549007
