n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,min_df,max_df,cluster_selection_method,n_topics_before,outlier_ratio_before,topic_coverage_before,coherence_before,diversity_before,n_topics_after,outlier_ratio_after,topic_coverage,ratio_topic_0,ratio_topic_1,coherence,diversity,time_seconds
30,5,250,80,0,1,0.5,eom,3,0.00416835114629657,0.995831648853704,0.384173284280483,1,3,0.00155430042743262,0.998445699572567,0.982796720269098,0.0112412030913309,0.316839276542204,1,782.928663
30,5,350,80,0,1,0.5,eom,3,0.00416835114629657,0.995831648853704,0.384173284280483,1,3,0.00155430042743262,0.998445699572567,0.982796720269098,0.0112412030913309,0.316839276542204,1,786.457522
30,5,350,250,0,1,0.5,eom,3,0.00540080148522041,0.99459919851478,0.394658434550679,1,3,0.00157392543282949,0.998426074567171,0.982675045235637,0.0112490530934896,0.390355373723986,1,790.898527
30,5,250,40,0,1,0.5,eom,3,0.00421152615816969,0.99578847384183,0.431199430916975,1,3,0.00162495044686137,0.998375049553139,0.982796720269098,0.011190178077299,0.316839276542204,1,773.655054
30,5,350,40,0,1,0.5,eom,3,0.00421152615816969,0.99578847384183,0.431199430916975,1,3,0.00162495044686137,0.998375049553139,0.982796720269098,0.0111744780729815,0.316839276542204,1,778.814905
50,5,350,150,0,1,0.5,eom,3,0.00391715107721655,0.996082848922783,0.409684486221796,1,3,0.00162887544794075,0.998371124552059,0.982863445287447,0.0111941030783783,0.333540849651501,1,930.052466
30,5,150,40,0,1,0.5,eom,6,0.00599347664820608,0.994006523351794,0.405478700421365,1,6,0.001715225471687,0.998284774528313,0.982796720269098,0.0092159025343732,0.289261950976056,1,805.333762
30,5,250,10,0,1,0.5,eom,3,0.0039407010836928,0.996059298916307,0.341527450860991,1,3,0.00179372549327451,0.998206274506726,0.982718220247511,0.0111941030783783,0.316839276542204,1,768.421944
30,5,350,10,0,1,0.5,eom,3,0.0039407010836928,0.996059298916307,0.341527450860991,1,3,0.00179372549327451,0.998206274506726,0.982718220247511,0.0111941030783783,0.316839276542204,1,776.564996
30,5,250,150,0,1,0.5,eom,3,0.00475317630712348,0.995246823692877,0.346288811145546,1,3,0.00179372549327451,0.998206274506726,0.982718220247511,0.0111744780729815,0.372302431232256,1,783.863965
30,5,350,150,0,1,0.5,eom,3,0.00475317630712348,0.995246823692877,0.346288811145546,1,3,0.00179372549327451,0.998206274506726,0.982718220247511,0.0111744780729815,0.372302431232256,1,782.353263
30,5,150,80,0,1,0.5,eom,4,0.00655475180255675,0.993445248197443,0.431389692059017,1,4,0.00191932552781452,0.998080674472186,0.982592620212971,0.00971830267253324,0.372302431232256,1,770.907188
90,5,50,40,0,1,0.5,eom,17,0.00509465140102914,0.994905348598971,0.683403620833247,0.976470588235294,17,0.00195072553644952,0.998049274463551,0.98341294543856,0.00791672717709997,0.63173301944104,0.947058823529412,1267.076498
70,5,150,40,0,1,0.5,eom,5,0.00693155190617677,0.993068448093823,0.609934782262481,1,5,0.0019703505418464,0.998029649458154,0.983204920381353,0.00898825247176943,0.407361136826982,1,1068.266731
70,5,50,40,0,1,0.5,eom,15,0.00443132621861471,0.995568673781385,0.714744303639229,0.973333333333333,15,0.00207240056991016,0.99792759943009,0.983204920381353,0.0079913021976081,0.658909604850676,0.953333333333333,1132.485639
70,5,150,10,0,1,0.5,eom,5,0.00643700177017549,0.993562998229825,0.550543148951901,1,5,0.00226865062387892,0.997731349376121,0.983110720355448,0.0085486523508794,0.429552018682465,1,1055.250517
50,5,150,80,0,1,0.5,eom,5,0.00749675206160682,0.992503247938393,0.626341794748332,1,5,0.00233145064114893,0.997668549358851,0.982702520243193,0.00959270263799323,0.297753604443753,1,959.077627
50,5,250,10,0,1,0.5,eom,4,0.00737115202706681,0.992628847972933,0.475640099699675,1,4,0.00262582572210207,0.997374174277898,0.980920569753157,0.0106446029272658,0.58015034780927,1,902.607332
50,5,350,10,0,1,0.5,eom,4,0.00737115202706681,0.992628847972933,0.475640099699675,1,4,0.00262582572210207,0.997374174277898,0.980920569753157,0.0106446029272658,0.58015034780927,1,901.238631
50,5,150,40,0,1,0.5,eom,5,0.00693547690725615,0.993064523092744,0.626341794748332,1,5,0.00269255074045145,0.997307449259549,0.982843820282051,0.00945532760021509,0.288735125358702,1,953.236843
50,5,350,250,0,1,0.5,eom,4,0.00887442744046755,0.991125572559533,0.462022609209257,1,4,0.0029869258214046,0.997013074178595,0.911071250544594,0.0705244193942153,0.485665883876767,1,931.618386
70,5,50,10,0,1,0.5,eom,18,0.00452552624451972,0.99547447375548,0.673687611454622,0.972222222222222,18,0.00304580083759523,0.996954199162405,0.983055770340337,0.00749675206160682,0.618662695799117,0.972222222222222,1165.398498
50,5,50,40,0,1,0.5,eom,21,0.00803055220840186,0.991969447791598,0.746892099327169,0.971428571428571,21,0.00310860085486524,0.996891399145135,0.982588695211891,0.00245312567460956,0.638973453536456,0.938095238095238,1017.727488
50,5,150,10,0,1,0.5,eom,7,0.00951420261640572,0.990485797383594,0.640175604298025,0.985714285714286,7,0.00595030163633295,0.994049698363667,0.976473543530224,0.0110685030438383,0.699065216935757,0.928571428571429,956.866372
30,5,150,10,0,1,0.5,eom,6,0.0136511537540673,0.986348846245933,0.702368212735574,1,6,0.00985175270923199,0.990148247290768,0.974821118075808,0.0096123276433901,0.468301216381078,1,786.077534
90,5,250,150,0,1,0.5,leaf,35,0.812718573497608,0.187281426502392,0.540002179937115,0.982857142857143,35,0.030308858334936,0.969691141665064,0.0727812950148561,0.0428806367921751,0.423105129942892,0.985714285714286,1199.413997
70,5,250,80,0,1,0.5,leaf,42,0.789525742119579,0.210474257880421,0.548965971543105,0.990476190476191,42,0.0364593350263171,0.963540664973683,0.0744337204692731,0.0429277368051276,0.424522854195117,0.983333333333333,1064.630742
50,5,350,40,0,1,0.5,leaf,36,0.748587980861695,0.251412019138305,0.509280560026284,0.991666666666667,36,0.059110516255392,0.940889483744608,0.0744572704757494,0.0614969169116522,0.434077963864165,0.991666666666667,935.091106
50,5,350,80,0,1,0.5,leaf,35,0.789188192026753,0.210811807973247,0.533052464300268,0.982857142857143,35,0.0655435930244881,0.934456406975512,0.0757368208276257,0.0417737864877913,0.477568490673704,0.988571428571429,941.405646
70,5,250,150,0,1,0.5,leaf,38,0.797528819320425,0.202471180679575,0.523856601283045,0.992105263157895,38,0.0843325731914576,0.915667426808542,0.0737154452717475,0.040808236222265,0.365506864508097,0.989473684210526,1068.652744
50,5,350,10,0,1,0.5,leaf,44,0.785961841139506,0.214038158860494,0.513033826530223,0.988636363636364,44,0.0873351990171797,0.91266480098282,0.0688013439203696,0.0358431098568552,0.339677852824028,0.972727272727273,940.036922
90,5,250,80,0,1,0.5,leaf,39,0.796202168955597,0.203797831044404,0.548685372440441,0.987179487179487,39,0.0906910749400456,0.909308925059954,0.0725065449392999,0.038602385615656,0.383462380484631,0.992307692307692,1191.418554
70,5,250,40,0,1,0.5,leaf,44,0.791668792708918,0.208331207291082,0.54962798302678,0.993181818181818,44,0.103631803498746,0.896368196501254,0.0743316704412094,0.0352268846873933,0.327416053823054,0.988636363636364,1060.118833
30,5,350,250,0,1,0.5,leaf,35,0.739364228325163,0.260635771674837,0.515325082545636,0.988571428571429,35,0.105374503977989,0.894625496022011,0.0705047943888185,0.0710699945442485,0.411439628123203,0.994285714285714,810.529227
50,5,250,150,0,1,0.5,leaf,43,0.77287196253979,0.22712803746021,0.559361194524673,0.993023255813954,43,0.105594304038434,0.894405695961566,0.0705715194071678,0.0608532167346346,0.349017615634266,0.990697674418605,956.71465
